名称,名称_カナ,住所,男性トイレの有無,女性トイレの有無,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用可能な曜日,利用開始時間,利用終了時間,利用可能時間特記事項
剣山国定公園夫婦池,ツルギサンコクテイコウエンメオトイケ,美馬郡つるぎ町一宇,有,有,無,無,無,月火水木金土日,00:00,23:59,
剣山国定公園三嶺山頂,ツルギサンコクテイコウエンミウネサンチョウ,三好市東祖谷菅生,有,有,無,無,無,月火水木金土日,00:00,23:59,男女兼用
剣山国定公園三嶺（名頃駐車場）,ツルギサンコクテイコウエンミウネ（ナゴロチュウシャジョウ）,三好市東祖谷菅生,有,有,有,無,無,月火水木金土日,00:00,23:59,
室戸・阿南海岸国定公園,ムロト・アナンカイガンコクテイコウエン,阿南市ほか4町,有,有,無,無,無,月火水木金土日,00:00,23:59,
佐那河内いきものふれあいの里,サナゴウチイキモノフレアイノサト,佐那河内村大字上字大川原外,有,有,有,無,無,火水木金土日,09:00,16:00,12/28～1/4を除く
環境首都課分庁舎,カンキョウシュトカブンチョウシャ,徳島市西新浜町2丁目70-1,有,有,有,有,有,月火水木金土日,09:30,18:00,月曜日のみ8:30～17:00，年末及び年始は利用不可。
徳島保健所,トクシマホケンショ,徳島市新蔵町３丁目80,有,有,有,有,有,月火水木金,08:30,18:15,祝日，年末及び年始は利用不可。
旧徳島保健所小松島支所,キュウトクシマホケンショコマツシマシショ,小松島市堀川町1-27,有,有,有,無,無,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可。
吉野川保健所,ヨシノガワホケンショ,吉野川市鴨島町鴨島106-2,有,有,有,無,有,月火水木金,08:30,17:15,
美馬保健所,ミマホケンショ,美馬市穴吹町穴吹字明連23,有,有,有,有,有,月火水木金,08:30,17:15,"一部,祝日・年末及び年始は利用不可"
三好保健所,ミヨシホケンショ,三好市池田町マチ2542-4,有,有,有,有,有,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可。
南部総合県民局保健福祉環境部阿南庁舎,ナンブソウゴウケンミンキョクホケンフクシカンキョウブアナンチョウシャ,阿南市領家町野神319,有,有,有,有,有,月火水木金,08:30,18:15,祝日，年末及び年始は利用不可。
総合福祉センター,ソウゴウフクシセンター,徳島市中昭和町１丁目2,有,有,有,有,有,月火水木金土日,09:00,21:00,毎月第3日曜日、祝日，年末及び年始は利用不可。土・日は利用時間9：00～17：00
出羽島診療所,テバジマシンリョウショ,牟岐町大字牟岐浦字出羽島8,有,有,無,無,無,月火水木金,08:45,15:00,"8:45～15:00又は11:30～16:30
診察日等により変更になります。
トイレは1つで男女共用です。"
精神保健福祉センタ－,セイシンホケンフクシセンター,徳島市新蔵町３丁目80,有,有,無,無,無,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可。
障がい者交流プラザ,ショウガイシャコウリュウプラザ,徳島市南矢三町２丁目1-59,有,有,有,有,有,月火水木金土日,09:00,17:00,年末年始不可。平日は21:00まで可
徳島県立工業技術センター,トクシマケンリツコウギョウギジュツセンター,徳島市雑賀町西開11-2外,有,有,有,無,無,月火水木金,09:00,17:00,祝日、年末及び年始は利用不可
徳島とくとくターミナル,トクシマトクトクターミナル,松茂町中喜来字前原東四番越14-1,有,有,有,無,無,月火水木金土日,00:00,23:59,
南阿波サンライン第１展望台,ミナミアワサンラインダイイチテンボウダイ,美波町日和佐浦453-4,有,有,有,無,有,月火水木金土日,00:00,23:59,
